,LSOA,population_per_hectare
801,E01033472,66.3
802,E01012120,1.1
803,E01012124,0.8
804,E01012182,1.3
805,E01012183,6.5
806,E01012148,41.9
807,E01012150,30.0
808,E01012151,12.2
809,E01012152,16.8
810,E01032594,14.4
811,E01012146,28.5
812,E01012167,13.4
813,E01012168,36.9
814,E01012170,8.9
815,E01012173,30.3
816,E01012174,35.7
817,E01033470,9.1
818,E01012242,36.7
819,E01012243,67.0
820,E01012244,52.1
821,E01012246,56.8
822,E01012296,29.7
823,E01012297,14.6
824,E01012197,52.3
825,E01012256,42.2
826,E01012257,58.3
827,E01012275,49.7
828,E01012276,31.5
829,E01012277,49.0
830,E01012196,44.1
831,E01012198,0.6
832,E01012214,58.7
833,E01012215,54.1
834,E01012216,10.0
835,E01012245,36.5
836,E01012278,3.3
837,E01012279,10.7
838,E01012280,47.9
839,E01012281,43.6
840,E01012255,15.6
841,E01012269,0.4
842,E01012294,1.2
843,E01012295,2.2
844,E01033476,4.5
845,E01033480,0.7
846,E01012210,20.8
847,E01012211,19.7
848,E01012212,30.1
849,E01012213,47.7
850,E01012192,53.0
851,E01012193,55.9
852,E01012260,29.3
853,E01012261,22.4
854,E01012247,51.9
855,E01012249,26.1
856,E01012271,35.9
857,E01012272,50.5
858,E01012273,66.2
859,E01012274,46.9
860,E01012248,31.1
861,E01012250,17.6
862,E01032542,54.7
863,E01032543,75.4
864,E01032544,33.5
865,E01012194,48.9
866,E01012195,56.4
867,E01012258,12.4
868,E01012259,64.8
869,E01012268,39.3
870,E01012187,15.7
871,E01012188,12.1
872,E01012189,59.3
873,E01012205,52.4
874,E01012219,33.9
875,E01012251,78.2
876,E01012252,34.8
877,E01012253,39.5
878,E01012254,31.0
879,E01012204,31.0
880,E01012206,42.4
881,E01012207,24.0
882,E01012208,50.8
883,E01012262,42.4
884,E01012264,6.1
885,E01012266,8.9
886,E01012267,50.7
887,E01033477,48.2
888,E01012190,38.2
889,E01012191,52.5
890,E01012224,53.2
891,E01012225,6.9
892,E01012226,35.4
893,E01012209,48.1
894,E01012217,76.3
895,E01012218,26.6
896,E01012223,10.2
897,E01012286,18.2
898,E01012287,26.8
899,E01012288,108.5
900,E01012289,7.9
901,E01012238,41.2
902,E01012239,50.2
903,E01012240,37.3
904,E01012241,35.5
905,E01012290,27.6
906,E01012291,36.9
907,E01012292,61.4
908,E01012282,11.5
909,E01012283,14.1
910,E01012284,31.1
911,E01012285,23.0
912,E01012199,7.1
913,E01012200,23.2
914,E01012201,18.7
915,E01012202,34.3
916,E01012203,9.6
917,E01012270,17.1
918,E01012228,46.8
919,E01012230,49.3
920,E01012233,1.2
921,E01012236,28.2
922,E01012237,38.3
923,E01012227,41.1
924,E01012231,40.1
925,E01012232,65.8
926,E01012234,37.8
927,E01033474,35.7
928,E01033475,34.9
929,E01033478,13.5
930,E01033479,48.6
931,E01012235,1.0
932,E01012298,24.1
933,E01012299,22.3
934,E01012300,36.5
935,E01012301,13.5
936,E01012302,31.8
937,E01012303,7.7
938,E01008246,56.1
